PHP
Java
BCPL
BeanShell
Script.NET
newLISP
Befunge
Clean
Whitespace
XL
Pharo
SolidThinking Embed
Kent Recursive Calculator
Oberon
Emacs Lisp
GT.M
REBOL
Embedded SQL
Turbo Basic
Puck
PureBasic
Uniface
ALGOL 68
Real-time bidding
PL/M
PROGRES
J
ABAP
QBasic
C++
C
Agda
XPath
C#
Clipper
BETA
Verilog
Scilab
Reaktor
JScript .NET
Gofer
Transact-SQL
ladder logic
SR
EGL
Lustre
Scala
BBC BASIC
Visual Basic
Data Language Interface
ObjectStar
Slate
CPL
xHarbour
Unobtrusive JavaScript
FALSE
Oxygene
WMLScript
Sing#
Interpress
Java Persistence Query Language
GNU Data Language
Planner
Strongtalk
Curry
Physically Based Rendering Modeling Language
Mozart Programming System
TI BASIC
Managed Extensions for C++
Superbase database
Bourne shell
MPD
2.PAK
occam
Report Program Generator
Turbo Pascal
Amiga E
BASIC A+
CUDA
Apache Ant
AmigaBASIC
Modelica
Agilent VEE
DIGITAL Command Language
Transaction Application Language
BASIC
Singularity
Simulink
Sather
KTurtle
Haskell
XSLT
Portlet
Common Lisp
Nullsoft Scriptable Install System
Dartmouth BASIC
Jess
SabreTalk
SMIL Timesheets
SETL
Nessus Attack Scripting Language
Stanford Artificial Intelligence Language
Tiny BASIC
Standard ML
Falcon
Programmation Automatique des Formules
CLIST
Integer BASIC
Dink Smallwood
NWScript
Geometric Description Language
CFEngine
LOLCODE
Malbolge
Just BASIC
Turing
True BASIC
batch file
Embarcadero Delphi
Julia
Leet
Refal
Nemerle
High Level Assembly
Euphoria
Factor
Focal
Unified Expression Language
SystemVerilog
FLOW-MATIC
Cilk
Harbour
ColdFusion Markup Language
vvvv
Short Code
Abbreviated Test Language for All Systems
WordBASIC
XProfan
Python
Boo
Torque
ML
Euler
ABLE
Haml
ICon-L
Interactive Data Language
Syntactically Awesome StyleSheets
Mizar system
PowerBASIC
NewtonScript
ATS
CHILL
Object Pascal
MBASIC
Visual Prolog
Pike
Hollywood
Netwide Assembler
XProc
Linda
FP
GFA BASIC
Project Builder
ILNumerics.Net
GNU Assembler
Job Control Language
Fortress
Sieve
Steel Bank Common Lisp
Flavors
Metafont
Objective-J
Pascal
Fortran
Clojure
Structured Query Language
Monkey X
Mesa
COMIT
CHIP-8
CMU Common Lisp
COMAL
Go
PL/SQL
Plankalkül
JavaFX Script
Cobra
Unreal Engine
Quartz Composer
Applesoft BASIC
Lite-C
MIXAL
Self
XL
X10
MUMPS
Leda
TMG
Dialect
Turbo-Basic XL
Ook!
Microsoft Macro Assembler
structured text
RPL
Sawzall
Accent
ROOT
QML
GAUSS
C++/CLI
Snap!
RGSS
P#
CBASIC
Noop
Arc
FoxPro
Object REXX
Modula
QB64
Cyclone
Mathematica
C--
Ceylon
AT&T
Cool
TRAC
Ateji PX
Chinese BASIC
BLISS
ArmScript
Airelle
Chipmunk Basic
BBj
Averest
Fantom
DRAMA
COBOL.NET
Advanced Business Application Language
FutureBASIC
Actor-Based Concurrent Language
Phrogram
ObjectPAL
IBM Informix-4GL
Grace
Limbo
Inform
IBM RPG II
NATURAL
Wiring
SNOBOL
JOSS
Visual J++
Cython
TypeScript
Perl
Blitz BASIC
Maple
Charm++
Genie
Clarion
JavaServer Pages Standard Tag Library
Synchronized Multimedia Integration Language
E
Prova
SWI-Prolog
Expect
Aleph
DRAKON
M
Rocky Mountain BASIC
Aldor
TECO
OpenGL ES Shading Language
ISWIM
GrGen
ALGOL W
LPC
Paradox
SuperBASIC
Game Maker Language
Not Quite C
Liberty BASIC
Not eXactly C
assembly language
CLIPS
Flagship compiler
Ada
Prolog
Lisp
COBOL
NetLogo
HAL/S
ATLAS Transformation Language
Visual Basic for Applications
Unlambda
Logo
C++/CX
Curl
CICS
WEB
InterSystems Caché
Borland Turbo C
GAP
Kawa
OpenCL
REXX
MAI Basic Four
Locomotive BASIC
PONIE
Xtend
Spec#
PL/0
Java Agent Development Framework
XBase++
Scheme
ABC
QuickBASIC
C shell
INTERCAL
Piet
Modula-2+
Alef
OpenEdge Advanced Business Language
Maclisp
Modula-3
A#
Processing
Etoys
rc
GW-BASIC
Maya Embedded Language
Unicon
Mocklisp
NCL
ZPL
MAPPER
MicroMondes
Micro Lua DS
Gödel
MOLOG
Unified Modeling Language
ActionScript
GNU Octave
Go!
Hop
Gibiane
Ioke
Iota and Jot
VHDL
Alice
Shakespeare
Vala
Mathcad
Gambas
FSharp
Lingo
Atari Microsoft BASIC
General Algebraic Modeling System
Brainfuck
Smalltalk
Standard ML of New Jersey
4DOS
Mercury
R
Karel
Korn shell
Objective-C
ALGOL
Io
Visual FoxPro
Atari BASIC
Squeak
BASIC Programming
Jasmin
AspectJ
LabVIEW
Oz
Joy
Racket
MetaPost
Graphics Layout Engine
Stateflow
UCSD Pascal
Zebra
ASP.NET
IBM BASIC
XUpdate
Unified Parallel C
URBI
Pro*C
P′′
Raku (programming language)
D
sed
LCM
LEGO
LSE
Red
Izibasic
Yorick
IronScheme
ISETL
LACATRE
Typed assembly language
CoffeeScript
Caml
LZX
Core War
Component Pascal
Lisp Machine Lisp
Eiffel
XML User Interface Language
VisiCalc
Frame representation language
Gallina
LiveCode
IBM Query Management Facility
Ferite
High Performance Fortran
Frink
Evolutionary Virtual Agent
GeneXus
Family of programming languages
Abel
Maude system
Visual T#
λProlog
XBLite
Lucid
WQL
WLanguage
MultiLisp
ZetaLisp
GNU Bash
FreeBASIC
Oolong
NQP
PANORAMIC
Opa
Neko
North American Presentation Level Protocol Syntax
Next Byte Codes
Object-PL/SQL
Ooc
OptimJ
Information Processing Language
CLU
Microsoft Small Basic
Modula-2
Asymptote
PL/pgSQL
PILOT
PEARL
IBM PL/S
OttoQL
POW!
S
Dylan
ELAN
JOVIAL
Executive Systems Problem Oriented Language
chef
Active Server Pages
adenine
Icon
STOS BASIC
Seed7
J#
Distributed Application Specification Language
Cω
Basic For Qt
Squirrel
Turbo C++
Microsoft BASIC
UnrealScript
Stata
Cat
Programming Language for Business
Dependency Constraint Language
ESRI-Avenue
Charity
C Intermediate Language
EXEL
Concurrent ML
Bistro
Magma computer algebra system
EventScripts
Spice Lisp
Spoon
Tea
SPARK
Thue
Suneido
Parser
Simple Yet Powerful Scripting Language
UCBLogo
Pico
Tiny
Rex
Proteus
Mirah
CycL
Siddh
MS BASIC for Macintosh
DarkBASIC
Incr Tcl
XACML
nesC
Haxe
Altair BASIC
Miranda
B
AutoLISP
Automatically Programmed Tool
Realbasic
OpenGL Shading Language
Extensible Application Markup Language
ECMAScript
Common Lisp Object System
S-PLUS
Lasso
Lisaac
Logtalk
LotusScript
Linotte
Oberon-2
Nice
Opal
SAS
OTX
JAL
FOCAL
K
Hope
Perl Data Language
Macintosh Common Lisp
Mobile BASIC
Katahdin
JoCaml
Pixilang
HiAsm
PascalABC.NET
x86 assembly language
dBase
ARLA
bc
mIRC scripting language
ASIC programming language
Action!
Erlang
CORC
Commodore BASIC
Active Oberon
AMOS
AMPL
ACUCOBOL
Altera Hardware Description Language
m4
OCaml
Simula
Scratch
Common Intermediate Language
Newsqueak
AS/400 Control Language
MSX BASIC
SASL
Pnuts
Spice
Scriptol
TADS
Polyphonic C#
StarLogo
SQL/PSM
T++
Pythagoras
MAD
Atlas Autocode
Robik
Rapira
Coral 66
SETL2
POSXML
COLA
CWEB
CaPSL
COWSEL
Cadence SKILL
CMS-2
CSMP III
COMTRAN
Caché ObjectScript
Chapel
Delphi
Dependent ML
DuAL
WSFN
colorForth
Global Arrays
XPL
Allegro Common Lisp
Zonnon
PL/I
PostScript
Forth
A+
A-0 System
Elm
Elixir
Epigram
Emerald
Escher
Embedded style language
Enterprise Mashup Markup Language
Elliott ALGOL
Eltron Programming Language
Cel
Cayenne
Ch
Charm
Candle
chomski
Cerner CCL
SmallBASIC
Actor
ARLOGO
ARS++
A♯
ASCEND
ActiveVFP
HP-GL
Abstract State Machine Language
AgentSpeak
ATOLL
Advice taker
Adventure Definition Language
Euclid
FL
F-Script
F*
FOCAL-69
EuLisp
Extensible Embeddable Language
FARGO
Portal
Cilk Plus
Processing.js
ProvideX
Pyrex
Prototype Verification System
2APL
Metaobject Protocol
PARI/GP
Praspel
Argus
HQ9++
Handel-C
Lexico
Hybris
GRASS
Atari LOGO
Maxscript
Hot Soup Processor
Atari ST BASIC
Alpha
Agora
Algebraic semantics
Algebraic Logic Functional programming language
Alma-0
Alphard
AgentSheets
AmbientTalk
Ciao
Comet
Compiler Description Language
Church
Claire
Colony Framework
Concurrent Euclid
Clascal
CiMPLE
Constraint Handling Rules
Concurrent Haskell
Color BASIC
THINK C
Vilnius BASIC
URQ
Analitik
Ratfor
X++
Turbo51
Address programming language
XBasic
XOTcl
F
FOIL
FP84
FX-87
FXML
FORMAC
FPr
JADE
Id
NEAT
gawk
Intel Concurrent Collections
IronLisp
Intel Parallel Building Blocks
Impulse C
Pauscal
Illumination Software Creator
Interactive C
Converge
DASL
Creative Basic
DAP FORTRAN
CosmicOS
Cybil
Cornell University Programming Language
CorVision
Cryptol
DATATRIEVE
Ana
ApeScript
AspectC++
Atom
Analytica
Axum
Apple Dylan
autocode
ACL2
ADMB
ANSI/ISO C Specification Language
AMBIT
AIMMS
ALTRAN
ARITH-MATIC
ALCOR
DIV Games Studio
Filetab
Flow Java
Frege
Flapjax
Formula language
FpgaC
Frenetic
Fril
Flowcode
Face Modeling Language
Fuzzy Control Language
Janus
JRT
QUEL
Tink
Join-pattern
Join-calculus
JEAN
JModelica.org
Joe-E
Draco
DYNAMO
Deterministic Parallel Java
Data Access Language
DG/L
Dartmouth ALGOL 30
Robot Battle
Deesel
Dexterity programming language
Design By Numbers
Deutsch limit
DIBOL
KM
KRL
Keykit
Kinetic Rule Language
Krypton
KNITRO
Kojo
KOMPILER
Klerer-May System
Gemstone
GOAL
Glowe
GLOBAL
Game Oriented Assembly Lisp
Generalized Automation Language
General-purpose declarative language
GEORGE
GNU Radio Companion
GNU E
GScript
GluonJ
Interlisp
ABSYS
.QL
3APL
ABSET
*Lisp
A++
Joule
Joyce
Join Java
EFL
Edinburgh IMP
EPSILON
EXEC 2
Ease
EasyLanguage
ECL
EMML
EICASLAB
ECL programming language
KISS
Judoscript
KL0
Hugo
Gremlin
Hindawi Programming System
Gobstones
Helium
HPCC
Hamilton C shell
Hartmann pipeline
Gosu
HP Time-Shared BASIC
Google Apps Script
hoc
Qi
Simul
Fjölnir
Syntax Definition Formalism
QuickPascal
Rational Modeling Language
SAM76
RUR-PLE
Scol
LIS
L
Lava
LISA
LEAP
LOOM
L Sharp
AMPLE
LYaPAS
Laning and Zierler system
Lazy ML
NGL
NIL
Movitz
Mondrian
Mystic BBS
NESL
NEWP
MiniD
Music Markup Language
Mudlle
Hume
HyperFun
KL1
ISETLW
IMP
IITRAN
ISLISP
IBM System/36 BASIC
IBM RPG III
MDL
Lynx
Limnor
Lithe
Little b
LispWorks
MARK IV
Linoleum
M2001
Basic4GL
Behavioral Description Language
Bertrand
BANCStar programming language
Babbage
BASIC-PLUS
Basic4ppc
BASIC09
BBN LISP
BEFLIX
BASIC 8
Baby modula-3
NPL
NetRexx
Napier88
Nial
Newspeak
Net.Data
NS Basic
Nato.0+55+3d
Oaklisp
Objlog
OmniMark
Obliq
occam-π
ObjVlisp
ObjectLOGO
Obix
ORCA/Modula-2
Object Oberon
Nu
Nickle
OBJ
Nord Programming Language
OBJ3
OBJ2
o:XML
OPS5
Mary
Kabal
MIIS
MLisp
MexScript
MIMIC
MOO
MST Workshop
MacroML
Met English
Blue
Bon
Boomerang
BlooP and FlooP
"Bluespec, Inc."
Bidule
Brutus2D
BitC
Orwell
Onyx
PACT
Orc
Oriel
PCASTL
OpenMx
Pan
POP-11
Parlog
POP-2
PROMAL
PV-Wave
Pantalk
ParaSail
PL-11
PLANC
PLEX
PL/C
PLEXIL
PIKT
PL360
PL/P
CHAIN
CAL
CGOL
CLACL
CLP(R)
C*
CEEMAC
Business Intelligence Markup Language
Plus
Pforth
Pipeline Pilot
PeopleCode
PicoLisp
Pic Micro Pascal
Php4delphi
Pict
Polymorphic Programming Language
Polymorphic recursion
Q
Q
Python for S60
QUILL
PyUnit
Qalb
PyLinda
QUIKTRAN
Pure
Poplog
Prograph
Programming Computable Functions
Portable Standard Lisp
ProSet
Program Composition Notation
Psake
Protel
PowerHouse
Ptolemy Project
Profile Scripting Language
Programmable Macro Language
ROOP
Realtime Programming Language
RAPID
Qu
RTML
RTL/2
R++
Quark Framework
RiscLua
RascalMPL
S3
Roy
S2
SALSA
Rpal
SIGNAL
Run BASIC
Robotc
SAC programming language
SAS language
Sense
SYMPL
SLIP
Scientific Vector Language
SMALL
STRINGCOMP
SISAL
SK8
SP/k
Yoix
Zeno
TNSDL
WATFIV
XPL0
ZOPL
Speedcoding
Tom
FACT
Snostorm
Cecil
SequenceL
Secure Operations Language
FLACC
SenseTalk
Text Executive Programming Language
Stagecast Creator
